Id,Title,SelectionFields,CreationDate,Published,Approved,OwnerName,QsdaVersion,MetaId
030e854e-0b17-422c-b8f0-5c5ad7c07d8d,Loans in Adverse Status with a Completed Appraisal Date by Year,"Current Loan Status, Appraisal Completed Date",2023-05-13T10:22:57.725Z,False,False,Undetermined,3.4.5,1657
b07cb546-73b7-48d3-b75c-be56372095dc,Custom Reporting: Default,"TableDimensions, TableMeasures, CoheusReportFilter",2025-04-17T18:04:23.391Z,False,False,Undetermined,3.4.5,1658
