lei,name,legalName,dba,nmls,nmlsNumber,type,dataYear,orig,dollarVol,branches,states,fico,ltv,dti,rate,hmdaRate,rateSource,products,conf,ob_totalOriginatedUnits2025,ob_mergedInsightsFromYear,ob_Conventional_originated,ob_Conventional_approximate,ob_Conventional_hmdaLoanType,ob_Conventional_note,ob_FHA_originated,ob_FHA_approximate,ob_FHA_hmdaLoanType,ob_FHA_note,ob_VA_originated,ob_VA_approximate,ob_VA_hmdaLoanType,ob_VA_note,ob_USDA_originated,ob_USDA_approximate,ob_USDA_hmdaLoanType,ob_USDA_note,ob_Jumbo_originated,ob_Jumbo_approximate,ob_Jumbo_hmdaLoanType,ob_Jumbo_note,ob_HELOC_originated,ob_HELOC_approximate,ob_HELOC_hmdaLoanType,ob_HELOC_note,dec_available,dec_mergedFromReportingYear,dec_totalApplications,dec_deniedApplications,dec_withdrawnApplications,dec_incompleteApplications,dec_approvedNotAccepted,dec_purchasedLoans,dec_denialReasonsSuppressedCount,dec_denialReasonsJson,dec_note
549300EWFHPBZH38K695,"COMPEER FINANCIAL, FLCA","COMPEER FINANCIAL, FLCA",,,,IMB,2025,1466,429780000,,20,,,,6.75,,estimated,Conventional|Jumbo,70,1466,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,2041,207,115,24,283,75,0,{},
549300XSS1CPK8G7B851,ServisFirst Bank,ServisFirst Bank,,,,IMB,2025,1464,889160000,,21,,,,6.75,,estimated,Conventional|HELOC|Jumbo|FHA|VA,70,1464,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1642,47,219,2,17,25,0,{},
549300OYEKEORA1GI088,"GoPrime Mortgage, Inc.","GoPrime Mortgage, Inc.",,,,IMB,2025,1460,509310000,,32,,,,6.75,,estimated,Conventional|FHA|USDA|VA|Jumbo,70,1460,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,1708,129,239,0,3,0,0,{},
549300Q10M1VXBG2H889,"MILEND, INC.","MILEND, INC.",,,,IMB,2025,1460,410390000,,17,,,,6.75,,estimated,Conventional|Jumbo|VA|FHA,70,1460,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,4767,443,1953,912,45,0,0,{},
549300VVH8HHFMWL8536,CHEVRON Federal Credit Union,CHEVRON Federal Credit Union,,,,IMB,2025,1457,593095000,,47,,,,6.75,,estimated,Conventional|HELOC|Jumbo,70,1457,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1767,326,281,21,5,0,0,{},
549300VJ7C5JB4W87F48,"KEY MORTGAGE SERVICES, INC.","KEY MORTGAGE SERVICES, INC.",,,,IMB,2025,1456,515990000,,15,,,,6.75,,estimated,Conventional|FHA|VA|Jumbo,70,1456,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,true,2024,2114,76,309,15,155,0,0,{},
5493006MCOP60BBI4G97,Seacoast National Bank,Seacoast National Bank,,,,IMB,2025,1453,510955000,,2,,,,6.75,,estimated,Conventional|HELOC|Jumbo|VA|FHA|USDA,70,1453,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2964,1027,251,22,52,95,0,{},
549300T7AIY7RU1YDP31,NBH Bank,NBH Bank,,,,IMB,2025,1448,553820000,,32,,,,6.75,,estimated,FHA|Conventional|Jumbo|VA|USDA|HELOC,70,1448,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,2227,305,463,10,25,4,0,{},
254900WT4HAMDFWH3048,"SOUTH RIVER MORTGAGE, LLC","SOUTH RIVER MORTGAGE, LLC",,,,IMB,2025,1442,274610000,,31,,,,6.75,,estimated,Conventional|FHA|HELOC|Jumbo,70,1442,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,719,1,6,0,2,0,0,{},
254900X6OAHFW6BUT219,WESTCONSIN Credit Union,WESTCONSIN Credit Union,,,,IMB,2025,1435,214825000,,2,,,,6.75,,estimated,Conventional|HELOC|Jumbo|USDA,70,1435,2024,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,,,,,,,,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,,false,,No HMDA loan_type originated count in merged insights; see row.orig for total originated units.,true,2024,1950,328,249,118,30,0,0,{},
