Flag,Category,Label,Description,Impact,RefObjectType,RefMetaId,QsdaVersion,MetaId
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,68930,3.4.5,-104917
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,68931,3.4.5,-104918
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,66241,3.4.5,-104919
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,66235,3.4.5,-104920
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,66233,3.4.5,-104921
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,66237,3.4.5,-104922
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,67745,3.4.5,-104923
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,67724,3.4.5,-104924
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,67698,3.4.5,-104925
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,67660,3.4.5,-104926
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,67628,3.4.5,-104927
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,67680,3.4.5,-104928
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,66239,3.4.5,-104929
MissingActionTarget,Quality,Missing Action Target,,0,ActionMeta,66231,3.4.5,-104930
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19957,3.4.5,-104932
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19957,3.4.5,-104933
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19957,3.4.5,-104934
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19957,3.4.5,-104935
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19959,3.4.5,-104936
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19959,3.4.5,-104937
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19959,3.4.5,-104938
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19961,3.4.5,-104939
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19961,3.4.5,-104940
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19961,3.4.5,-104941
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19962,3.4.5,-104942
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19962,3.4.5,-104943
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19962,3.4.5,-104944
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19963,3.4.5,-104945
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19963,3.4.5,-104946
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19963,3.4.5,-104947
BookmarkMissingField,Quality,Bookmark Field not Found,,0,BookmarkMeta,19964,3.4.5,-104948
