Id,Title,SelectionFields,CreationDate,Published,Approved,OwnerName,QsdaVersion,MetaId
64e3af58-6eb0-4c38-a355-7fbfb7b392fb,Bookmarknewvars,,2025-07-09T12:27:50.400Z,False,False,Undetermined,3.4.5,19956
54832898-c25b-4f59-9c79-e9a1dd894c0a,Coheus Reporting: Active Action Items,"TableDimensions, CoheusTableDimensions, CoheusTableMeasures, CoheusReportFilter",2021-12-03T16:13:13.715Z,False,False,Undetermined,3.4.5,19957
f4547f29-1e64-477c-957f-696a2f6181f0,Processor App to Fund Last Month,,2024-04-19T20:38:20.244Z,False,False,Undetermined,3.4.5,19958
12116702-c355-431d-b428-d3aae9195845,Coheus Reporting: Actors,"TableDimensions, TableMeasures, CoheusReportFilter",2021-12-03T16:33:32.927Z,False,False,Undetermined,3.4.5,19959
1a69025b-be64-49fc-bc89-5eb6b99ea81f,Bookmarktest,,2025-07-09T12:16:35.931Z,False,False,Undetermined,3.4.5,19960
1c4a016f-ee22-4501-8b75-5f67c20a596f,Coheus Reporting: Stratification vs Out of Range,"TableMeasures, CoheusTableDimensions, CoheusReportFilter",2021-12-03T17:37:19.711Z,False,False,Undetermined,3.4.5,19961
28b19f21-9de0-4614-8c81-d8dd7f8bb34c,Coheus Reporting: Turn Times,"TableDimensions, CoheusTableMeasures, CoheusReportFilter",2021-12-03T15:49:26.713Z,False,False,Undetermined,3.4.5,19962
5335c697-1c1e-4989-bced-da33ef951ab5,Coheus Reporting: Default,"TableDimensions, TableMeasures, CoheusReportFilter",2021-12-03T15:52:46.729Z,False,False,Undetermined,3.4.5,19963
563cb979-85a0-4ef1-91a9-2730f5ffa095,Coheus Reporting: Out of Range,"TableDimensions, TableMeasures, CoheusTableDimensions, CoheusReportFilter",2021-12-03T16:21:09.596Z,False,False,Undetermined,3.4.5,19964
5a465479-4917-4b1e-958e-c55dc3a36052,Coheus Reporting: Overview Active,"TableDimensions, CoheusTableMeasures, CoheusReportFilter",2021-12-03T15:56:50.660Z,False,False,Undetermined,3.4.5,19965
6a041e1b-4fb2-4442-bee5-adb2389818a1,Coheus Reporting: Company Scorecard,"TableDimensions, TableMeasures, CoheusTableMeasures, CoheusReportFilter, Application YTD Flag",2021-12-03T16:43:22.858Z,False,False,Undetermined,3.4.5,19966
74cce0a0-25b1-4a1e-b51b-84da417a400c,Coheus Reporting: Employment,"TableDimensions, TableMeasures, CoheusReportFilter",2021-12-03T16:03:04.410Z,False,False,Undetermined,3.4.5,19967
8482510b-770f-4bea-add6-99ca0e092ac8,Coheus Reporting: Date Stratification,"TableDimensions, TableMeasures, CoheusReportFilter",2021-12-03T17:45:08.013Z,False,False,Undetermined,3.4.5,19969
855d5f6c-cf31-4a74-bf1c-ad67d0e30565,Coheus Reporting: Snapshot,"TableDimensions, TableMeasures, CoheusReportFilter",2021-12-03T17:31:52.075Z,False,False,Undetermined,3.4.5,19977
95669f0c-94c1-4b4b-b7f7-f408e6d4e1bb,Coheus Reporting: Warehouse,"TableDimensions, TableMeasures, CoheusTableDimensions, CoheusReportFilter",2021-12-03T17:49:54.719Z,False,False,Undetermined,3.4.5,19978
a6ee287e-8ce8-4158-aea4-883f3052c16c,Underwriter App to Fund YTD,,2024-04-19T20:39:05.138Z,False,False,Undetermined,3.4.5,19979
a7b87c51-e2d8-4f61-9fbc-535b5f3e658b,Coheus Reporting: Credit Box,"TableDimensions, TableMeasures, CoheusTableDimensions, CoheusReportFilter",2021-12-03T17:48:04.496Z,False,False,Undetermined,3.4.5,19980
ad06e926-191e-4d7b-bf5a-ad0d23e23139,Populated Registration Flag,Registration Milestone Flag,2022-10-04T15:48:35.528Z,False,False,Undetermined,3.4.5,19981
bfb51521-5ae9-400c-9a55-fc1e1cfe7dc7,Coheus Reporting: Active Workload,"TableDimensions, CoheusTableMeasures, CoheusReportFilter",2021-12-03T16:32:13.824Z,False,False,Undetermined,3.4.5,19982
d5b98143-6e1f-4fda-9b22-374752f25991,Coheus Reporting: Current Status,"TableDimensions, TableMeasures, CoheusReportFilter",2021-12-03T15:58:54.094Z,False,False,Undetermined,3.4.5,19983
e678d6e3-72fd-473e-950c-af14a3d0198b,Coheus Reporting: Loan Stratification,"TableDimensions, TableMeasures, CoheusTableDimensions, CoheusReportFilter",2021-12-03T17:43:04.301Z,False,False,Undetermined,3.4.5,19984
efba7860-de89-4462-bd59-29ae03f0a723,Coheus Reporting: Agency,"TableDimensions, TableMeasures, CoheusTableDimensions, CoheusReportFilter",2021-12-03T17:41:41.418Z,False,False,Undetermined,3.4.5,19985
efc8da2c-068a-49f7-ac61-951a794d2379,Coheus Reporting: Closing Projections,"TableDimensions, CoheusTableDimensions, CoheusTableMeasures, CoheusReportFilter",2021-12-03T16:01:00.699Z,False,False,Undetermined,3.4.5,19986
